계정코드별,2011    ,2012    ,2013    ,2014    ,2015    ,2016    ,2017    ,2018    ,2019    
국내은행-가계(일반),8.75,4.75,3,7,6.75,3.5,13.5,3.5,7.5
국내은행-가계(주택),13.5,3.75,6.5,23.5,30.25,9.75,5.25,-4.25,-2.25
