특성별,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
특성별,전체 (억원),전체 (억원),전체 (억원),전체 (억원),전체 (억원),전체 (억원),전체 (억원),전체 (억원),전체 (억원),전체 (억원),전체 (억원),전체 (억원)
전체,200400,209095,216259,208718,201266,190395,185960,182297,178346,180606,186703,194852
