구분(1),레벨01(1),2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019
구분(1),레벨01(1),계,관용,자가용,영업용,계,관용,자가용,영업용,계,관용,자가용,영업용,계,관용,자가용,영업용,계,관용,자가용,영업용
,,,,19622569,,,,,,,,,,,,,,,,,
총합계,승용,16561665,27004,15807517,727144,17338160,27750,16505364,805046,18034540,30705,17121786,882049,18676924,32819,17663188,980917,19177517,33344,18071723,1072450
총합계,승합,920320,19079,776127,125114,892539,20260,746360,125919,867522,21556,720188,125778,843794,22540,696898,124356,811799,23014,663494,125291
총합계,화물,3432937,29052,3020822,383063,3492173,29834,3072915,389424,3540323,30813,3118342,391168,3590939,31957,3152275,406707,3592586,33072,3143102,416412
총합계,특수,74963,2422,18103,54438,80479,2532,20670,57277,85910,2687,23942,59281,90898,2784,27212,60902,95464,2867,30043,62554
