"성별","연령(5세)별",2000,2000,2001,2001,2002,2002,2003,2003,2004,2004,2005,2005,2006,2006,2007,2007,2008,2008,2009,2009,2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016,2017,2017,2018,2018
"성별","연령(5세)별",사망 (명),사망률 (십만명당),사망 (명),사망률 (십만명당),사망 (명),사망률 (십만명당),사망 (명),사망률 (십만명당),사망 (명),사망률 (십만명당),사망 (명),사망률 (십만명당),사망 (명),사망률 (십만명당),사망 (명),사망률 (십만명당),사망 (명),사망률 (십만명당),사망 (명),사망률 (십만명당),사망 (명),사망률 (십만명당),사망 (명),사망률 (십만명당),사망 (명),사망률 (십만명당),사망 (명),사망률 (십만명당),사망 (명),사망률 (십만명당),사망 (명),사망률 (십만명당),사망 (명),사망률 (십만명당),사망 (명),사망률 (십만명당),사망 (명),사망률 (십만명당)
"계","65 - 69세",25249,1940.6,25867,1858.9,26375,1792.3,26836,1737.4,27077,1670.2,26458,1577.8,25942,1500.7,25880,1413.7,25343,1326.1,24020,1251.7,23371,1227.3,21751,1153.6,20533,1093.9,19466,1013.7,19521,971.8,19900,943.4,20332,930.2,19942,881.6,20397,869.5
"계","70 - 74세",29149,3299.4,28906,3117.7,29362,3010.1,29443,2869.0,29915,2757.1,30388,2613.8,31107,2489.2,31627,2381.3,32202,2297.2,31975,2161.3,32541,2117.1,32028,2013.1,33500,1979.6,32904,1856.6,31261,1751.2,30399,1710.4,28692,1625.1,26828,1519.3,25964,1431.2
"계","75 - 79세",33506,5707.4,33126,5476.8,33545,5393.4,32182,4994.6,32549,4776.4,33557,4614.7,33772,4385.6,34587,4233.2,34024,3921.8,34553,3732.3,36987,3700.2,38060,3522.7,40789,3536.9,41226,3373.0,41399,3193.5,42666,3152.0,42367,3008.8,43132,2863.2,45173,2849.4
"계","80세이상",63123,12715.5,63068,12104.6,67772,12232.2,68815,11593.4,70853,11294.9,72737,11053.2,74931,10825.7,77001,10501.5,78566,10009.1,79354,9398.7,85501,9423.9,89562,9245.1,98187,9466.6,99332,8902.6,103748,8597.5,112638,8584.7,119325,8393.2,127801,8342.7,138230,8407.7
"계","80 - 84세",30048,9708.6,29669,9128.5,31443,9076.2,32396,8622.8,33332,8350.9,33818,8122.7,34381,7927.8,34080,7535.9,33546,7042.5,33981,6639.7,36391,6575.4,37670,6361.9,40604,6407.6,40839,6020.4,42575,5834.8,45030,5669.6,48227,5579.3,50618,5451.7,53905,5447.0
"계","85 - 89세",20684,15198.5,20771,14607.7,22323,14860.8,22171,14122.2,22754,13895.1,23659,13616.7,24504,13168.1,25797,12718.3,27570,12260.8,27439,11301.0,29383,11448.3,30833,11396.3,33078,11570.2,32877,10749.8,34239,10260.7,37792,10351.7,39709,10075.1,42481,9963.0,46046,9999.8
"계","90세이상",12391,24375.7,12628,23465.4,14006,24402.4,14248,23404.8,14767,22928.7,15260,22449.8,16046,22164.8,17124,21904.7,17450,20837.7,17934,19987.5,19727,20298.7,21059,19852.2,24505,20834.7,25616,19466.5,26934,18787.5,29816,19517.7,31389,19236.5,34702,19603.9,38279,19733.3
"계","90 - 94세",9311,22664.4,9593,21890.8,10701,22800.3,10878,21868.6,11074,21112.0,11467,20824.5,12089,20682.5,12767,20270.1,12878,19148.9,13178,18329.8,14553,18647.5,15642,18314.6,17956,18894.7,19021,17731.2,19944,17037.5,21981,17734.3,23018,17537.7,24706,17539.6,26788,17501.7
"계","95 - 99세",2384,31649.5,2440,31406.9,2655,31993.7,2758,30281.1,3107,31017.3,3220,29312.7,3404,28412.8,3735,28468.0,3941,27658.1,4040,26293.5,4367,26461.9,4565,25547.0,5515,28258.9,5552,26508.2,5827,25771.8,6625,26707.2,7036,25513.6,8329,26440.4,9810,27219.8
"계","100세이상",696,31365.5,595,26747.6,650,30037.0,612,30207.3,586,30307.7,573,29781.7,553,28171.2,622,30041.1,631,28150.8,716,29023.1,807,30591.4,852,30401.4,1034,33697.2,1043,30931.2,1163,31500.5,1210,30159.5,1335,30703.8,1667,35795.6,1681,34429.1
"계","연령미상",20,-,18,-,21,-,22,-,10,-,9,-,8,-,3,-,7,-,48,-,70,-,18,-,49,-,36,-,42,-,41,-,42,-,41,-,43,-
"남자","계",137789,577.4,135218,562.7,135846,562.5,135885,560.7,136235,560.3,135317,554.4,134631,549.4,135664,550.9,136932,553.1,137735,553.7,142358,570.0,143250,571.1,147372,585.1,146599,579.8,147321,580.6,150449,591.0,152529,597.5,154328,603.4,161187,629.6
"남자","0세",1545,493.6,1631,546.8,1417,540.5,1453,592.6,1226,512.2,980,436.6,958,441.1,936,405.2,842,357.5,756,337.7,888,394.4,818,353.0,779,331.1,698,306.9,715,331.4,655,302.5,642,306.2,569,299.7,534,313.1
"남자","1 - 4세",708,50.7,613,45.2,618,47.0,459,36.9,417,35.6,363,33.2,294,28.9,287,29.6,267,27.9,203,21.3,213,22.4,213,22.2,224,23.3,192,20.0,153,15.9,168,17.6,159,17.0,139,15.3,111,12.8
"남자","5 - 9세",585,31.0,500,26.3,484,25.8,409,22.3,404,22.7,352,20.4,290,17.4,256,16.1,216,14.4,247,17.3,175,13.1,142,11.4,145,11.9,160,13.3,113,9.5,126,10.6,123,10.2,134,11.1,102,8.5
"남자","10 - 14세",399,24.1,361,21.5,347,20.0,325,18.2,324,17.6,308,16.4,329,17.4,297,15.9,250,13.7,265,14.9,254,14.7,240,14.4,213,13.4,176,11.7,142,10.0,139,10.4,116,9.3,115,9.5,118,9.8
"남자","15 - 19세",1222,61.9,1030,55.0,838,47.4,850,50.4,714,43.2,669,40.6,647,38.8,751,43.6,690,38.8,709,38.7,705,37.7,699,37.1,607,32.6,557,30.6,572,32.4,448,26.1,485,29.2,424,26.8,386,25.8
"남자","20 - 24세",1805,89.8,1505,73.8,1344,65.0,1453,69.7,1217,59.5,1149,58.6,951,51.1,959,54.6,958,57.1,936,57.0,914,55.8,860,51.8,853,49.8,831,46.9,777,42.7,788,42.3,752,40.1,750,40.5,728,40.2
"남자","25 - 29세",2360,102.7,2002,90.6,1738,81.9,1814,88.9,1482,74.6,1465,73.7,1392,68.8,1522,74.0,1553,74.9,1526,74.8,1470,75.3,1400,75.6,1139,65.2,1019,61.1,958,58.6,986,60.5,924,55.9,953,55.9,926,52.6
"남자","30 - 34세",3057,133.7,2835,121.9,2685,113.8,2762,117.4,2226,96.0,2270,100.2,1848,84.6,1831,87.1,1652,81.3,1858,93.7,1786,90.0,1720,85.3,1708,83.4,1706,82.7,1613,79.5,1412,72.7,1331,72.2,1153,66.2,1175,70.7
"남자","35 - 39세",4814,212.5,4495,202.6,4088,187.9,4025,184.7,3759,169.6,3419,152.1,3152,137.7,2994,128.6,3111,133.2,3087,133.5,2911,128.8,2692,123.7,2534,120.9,2377,117.6,2230,113.1,1982,100.4,1944,96.9,1983,97.3,2057,100.1
"남자","40 - 44세",7417,357.0,7126,327.8,7051,314.1,7085,313.1,6550,291.2,5879,265.1,5299,243.7,5116,239.2,4852,225.3,4979,226.1,4902,219.1,4559,200.0,4336,187.1,4337,186.9,4018,175.0,3731,166.2,3515,162.5,3089,148.4,3006,149.6
