"행정구역별",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"행정구역별",건수 (건),건수 (건),건수 (건),건수 (건),건수 (건),건수 (건),건수 (건),건수 (건),건수 (건),건수 (건),건수 (건),건수 (건),건수 (건),건수 (건),건수 (건),건수 (건),건수 (건),건수 (건),건수 (건)
"전국",34844,36169,32966,31372,32737,32340,31778,47882,49631,47318,41863,43875,43249,40932,42135,44435,43413,44178,42338
