"행정구역별(1)",2019. 08 p),2019. 09 p),2019. 10 p),2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"행정구역별(1)",출생아수(명),출생아수(명),출생아수(명),출생아수(명),출생아수(명),출생아수(명),출생아수(명),출생아수(명),출생아수(명),출생아수(명),출생아수(명),출생아수(명),출생아수(명),출생아수(명),출생아수(명),출생아수(명),출생아수(명),출생아수(명),출생아수(명),출생아수(명),출생아수(명),출생아수(명)
"전국",24408,24123,25648,640089,559934,496911,495036,476958,438707,451759,496822,465892,444849,470171,471265,484550,436455,435435,438420,406243,357771,326822
