,,2006,2008,2010,2012,2014,2016,2017,2018
전국,,26.2,27.8,28.5,31.7,33.5,33.2,31.2,31.7
지역,수도권,24.4,25.7,25.9,29.4,31.3,30.7,28.3,28.5
,광역시 등,24.0,27.3,28.3,32.6,34.5,33.2,32.0,32.5
,도,30.0,31.2,32.4,34.6,36.2,37.1,35.1,36.1
소득계층,하위,30.6,33.5,33.9,39.0,40.0,39.8,37.1,37.6
,중위,22.2,23.6,24.7,26.3,29.8,28.4,27.0,27.8
,상위,24.3,25.4,27.0,27.6,30.1,28.8,27.6,27.8
