,1996년,1997년,1998년,1999년,2000년,2001년,2002년,2003년,2004년,2005년,2006년,2007년,2008년,2009년,2010년,2011년,2012년,2013년,2014년,2015년,2016년,2017년,2018년,
수출,129715136.00,136164204.00,132313143.00,143685459.00,172267511.00,150439144.00,162470528.00,193817443.00,253844672.00,284418743.00,325464848.00,371489086.00,422007328.00,363533561.00,466383762.00,555213656.00,547869792.00,559632434.00,572664607.00,526756503.00,495425940.00,573694421.00,604859657.00,
증감률,3.72,4.97,-2.83,8.60,19.89,-12.67,8.00,19.29,30.97,12.04,14.43,14.14,13.60,-13.90,28.30,19.00,-1.30,2.10,2.30,-8.00,-5.90,15.80,5.40,
수입,150339101.00,144616376.00,93281755.00,119752283.00,160481015.00,141097821.00,152126153.00,178826657.00,224462687.00,261238264.00,309382632.00,356845733.00,435274737.00,323084521.00,425212160.00,524413090.00,519584473.00,515585515.00,525514506.00,436498973.00,406192887.00,478478296.00,535202428.00,
증감률,11.26,-3.81,-35.50,28.38,34.01,-12.08,7.82,17.55,25.52,16.38,18.43,15.34,21.98,-25.80,31.60,23.30,-0.90,-0.80,1.90,-16.90,-6.90,17.80,11.90,
수지,-20623965.00,-8452172.00,39031388.00,23933176.00,11786496.00,9341323.00,10344375.00,14990786.00,29381985.00,23180479.00,16082216.00,14643352.00,-13267409.00,40449040.00,41171601.00,30800566.00,28285319.00,44046919.00,47150101.00,90257530.00,89233053.00,95216125.00,69657229.00,
,,,,,,,,,,,,,,,,,,,,,,,,
