시군구별,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
시군구별,다문화 출생아수(명),다문화 출생아수(명),다문화 출생아수(명),다문화 출생아수(명),다문화 출생아수(명),다문화 출생아수(명),다문화 출생아수(명),다문화 출생아수(명),다문화 출생아수(명),다문화 출생아수(명),다문화 출생아수(명)
전국,18079,18440,19431,19729,21174,21290,22908,22014,20312,19024,13443
